노래명	장르명	BPM	alias-1	alias-2	memo
op.31 叙情	PIANO CONCERTO	100–350	서정		유튜브로 태너 숙지 필수
out of disk space	CHARGE CORE	165–190			
OVER THE CLOUDS	HOUSE	120–128			
OVER THE CLOUDS -Flying Grind mix-	HOUSE	120–128			
PARANOiA ~HADES~	SUPERNOVA2 BEAT #1	75–300			
PARANOIA survivor MAX	JUNGLE MIXTURE	73–290			
Particle Arts	NEOTRANCE	162–178			
PENDUAL TALISMAN	SYSTEM BGM	150–160			탕탕탕탕탕탕 하고 bpm 160->150
Pluto	SUPERNOVA2 BEAT EX	50–225 (코어 BPM: 220)			
POSSESSION	PSYCHIC FLASH	23–185			플로팅 구간 2곳 존재
Punching Down (IIDX Mix)	SWITCH UP	128–150			
Push on Beats!~音ゲの国のeX-ストリーマー~	AKIBA-POP	164–172	오토게나라		
quaver♪	HAPPY	182–186	퀘이버		미세변속 존재
ra'am	RAVERS DANCE SPEED	111–222	라암		속도 222로 맞추고 플로팅해야함
Raison d'être 〜交差する宿命〜	ASTRAL CHOIR	155–175	레종데트르		
Regulus	INSTRUMENTAL	120–128			
ruin of opals	IRIDESCENCE JAZZ ETUDE	220–390			유튜브로 패턴 숙지 필수
R壱萬	RAVE	188–204	R일만		
SA.YO.NA.RA. SUPER STAR	ONLY ONE FINALE	85–170			
SABER WING	SHOOTING WALTZ	74–222			
SAMBA DE JANEIRO	SAMBA	153–161			
Sarutobi Champion is 拙者	PIECED MAKIBISHI	130–195	사루토비챔피언		갑자기 빨라지니 유튜브로 패턴 숙지 필수
Saturn	PROGRESSIVE TRIBAL	78–155 (코어 BPM: 155)			
Scandal	PROGRESSIVE SWING	160–228			
Session 1 -Genesis-	ELECTRIC FUSION	79–178			bpm 178에 맞추고 초반 플로팅할것
Session 9 -Chronicles-	ROCKIN' DRUM'N'BASS	182–189			
Session 12 -Esther-	PROGRE SYNTHETIC	64–209			
She is my wife	ONLY ONE BALLAD	85–170			노래 분위기상 곧 빨라지겠다 싶은곳서 미리 속도반감
Silly Love	ELECTRO NU DISCO	124–153			
Silver Bullet	PIANO CONCERTINO + JAZZ FUSION	152–172			SOFLAN 조심
Sinus Iridum	KAMIKURA	128–256	시누스		256에 맞추고 시작하고 플로팅, 배치 유튜브에서 숙지 필수
SISYPHUS	ABSURD STYLE	90–360 (코어 BPM: 180)			SOFLAN 조심
Skratch Education Lv-1	DJ BATTLE	100–200			유튜브서 패턴 숙지 필수
Skywalking	TRANCECORE	90–180 (코어 BPM: 180)			
Sol Cosine Job 2	FREEFORM HARDCORE	190–200			미세변속 롱스크나오는 구간서 속도 약간 낮춰도
Space in Time	FUTURE 'N' BASS	165–174			
Spooky	HARD HOUSE	140–455			
STAY GOLD	HARD DANCE	20.625–330 (코어 BPM: 165)			
Stella Sinistra	SYMPHONOVATIVE ROCK	120–180			
STULTI	GRAVIOL	90–182	스툴티		
Substance	PSYTECH FULL ON	130–174			
Surf on the Light	ELECTRO FUSION	60–160			
SYNC-ANTHEM	LATIN EURO	160–166	싱크엔섬		두루당당 하고 끝났다 싶을때 bpm 166에 맞춰야함
T.R.O.L.L.	RAWSTYLE	100–160			
THANK YOU FOR PLAYING	ONLY ONE EPILOGUE	45–170			마지막 소절 느려지는거 플로팅 필요
The Least 100sec	PROGRESSIVE	200–264	100초		마지막 플로팅
THE SAFARI	WORLD HOUSE	134 (3rd ~ 5th) 150 (6th ~)			676767
The Sealer 〜ア・ミリアとミリアの民〜	ELEMENTAL JIG	137–205	실러		
Theory	TRAP	102–146	띠오리		
TOE JAM	COUNTRY TECHNO	112–160			
TRANOID	PSG WORKS	130–190			
TRIP MACHINE PhoeniX	SUPERNOVA2 BEAT #2	80–160			
Twin Bee (Generation X)	EURO BEAT	168–177			
Usual Days-remix	DANCE POP	130–134			
VJ ARMY	ALL MIX	135–160			
VØID	EXTREME EXPERIMENTAL	80–170	보이드		유튜브에서 패턴 숙지 필수
Voltage (feat. Hidemaru)	BIG BEAT	30–125			
Votum stellarum	ANTHEM TRANCE	136–147			
Votum stellarum -Hommarju Remix-	UK HARDCORE	154–175			
Y&Co. is dead or alive	90's RAVE	145–876			유튜브로 패턴 숙지 필수
ZETA 〜素数の世界と超越者〜	IDM	90–180	제타		기믹이 빡센 노래. 기믹 찾아보는거 추천
キャッシュレスは愛情消すティッシュ	K-GROOVE	117–170	캐시리스티슈		
シャムシールの舞	バトルダンス	100–155	샴시르의 춤		
ディスコルディア	CROSSOVER	180–280	디스코르디아		배치 숙지를 위한 유튜브로 패턴 파악 필수
デモーニッシュ	J-POP	140–200	데모니슈		
デンドロビウム	BLOOM FUSION	110–144	덴드로비움		
ハオ	J-POP・VOCALOID	130–176	하오		
ピアノ協奏曲第１番 "蠍火"	DIRGE	165–188	헐화		미세변속 중간중간 존재. 180초반에 맞추고 깡으로 쳐야
ピアノ独奏無言歌 "灰燼"	THRENODY	100–200	회신		SOFLAN 조심
ラクエン	REGGAE	99–198	낙원		
ラクエン Feat.Chiharu Chonan -JAKA respect for K.S.K Remix	TECHY FREEFORM	99–198	낙원리믹스		
ワルツ第17番 ト短調 "大犬のワルツ"	VALSE	(노멀)190–290 (하이퍼)220–310 (싱글 어나더)230–320 (더블 어나더)220–350	큰개의 왈츠		SOFLAN 조심
二人ノ廃城幽踊宴	SPUKWALZER	280–316	2인의 폐성 유령 무도회		
最小三倍完全数	ピタゴラス的不完全性破壊衝動音律(ハンマーによる)	55–440	최소삼배완전수		
冥	HUMAN SEQUENCER	66–200	명		유튜브로 패턴 숙지 필수 https://youtu.be/5mC34O1il_4?si=lo_fBaGkBQFHhzmp
卑弥呼	ESOTERIC SPEEDCORE	83–185	히미코		유튜브로 패턴 숙지 필수
大桟橋	JAPAN	84–168	오산바시		
少年A	POST RENAISSANCE	90–192	소년A		
廿	新世紀進歩的羽扇子音楽	120–160	ㅂ		
御千手メディテーション	御千手メディテーション	150–190	천수관음메디테이션		
恋愛=精度×認識力	HARDCORE×ソフラン×変拍子×萌え	3–333 [BPM]	연정인		유튜브로 패턴 숙지 필수
恋歌疾風！かるたクイーンいろは	ハイスピードラブ一首	120–168	카루타퀸		
惑星鉄道	PROLOGUE	10–166	혹성철도		SOFLAN 조심
新宝島	IIDX EDITION	149–158	신보물섬		CHARGE 조심
明鏡止水	禅ジャズ	290 (208–290)	명경지수		
月光蝶	ビジュアル	109–218	월광접		
月雪に舞う華のように	FOREST SNOW	70–125	월설화		
朝焼けから始まるボクらの小さな旅	ARTCORE ROCK	100–218	아침부터 시작하는 우리들의 작은 여행	아침여행	
桜	SPIRITUAL	13–320	사쿠라		
終焔のClaudia	HARD RENAISSANCE	90–185	종염의 클라우디아		
罪過の聖堂	PIANO CONCERTO	40–165	원죄의 성당		패턴 숙지 필수
聖人の塔	BATTLE TRACK	97–194	성인의 탑		NOTES 조심
花冠 feat.Aikapin	SOCA	83–180	화관		
華麗なる！音戯探偵ひなビタ♫	オトギタンテイ	72–127	오토기탐정		
華麗なる大犬円舞曲	CINEMATIC VALSE	60–147	화려한 큰개 원무곡		유튜브로 패턴 숙지 필수
覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～	ビックリポップ	141–176	엔턴멘		
走馬灯 -The Last Song-	SOLDIER'S BALLAD	68–85	주마등		
雪上断火	HIP ROCK 3	105–180	힙락3		
雫	LAMENTO	95–210	라멘토	영	
革命	ORCHESTRAL	83–148	운명		초반 플로팅
音楽	SILENT	210–520(N, H) 210–360(EX)	음악	사일런트	패턴 숙지 필수
魔法のかくれんぼ	FANTASY TOYPOP	178–208	마법의 숨바꼭질		
-65℃	WHITE OUT	186			
¡Viva!	TRIBAL HOUSE	135			
⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾ beyond reason	ROMANTIC SCHOOL VARIATIONS	174			
[ ]DENTITY	FORTUNE OVERTURE	200	IDENTITY		
《GRANDMASTER》	TRIUMPH	160			
《ORDERBREAKER》	GODSPEED	166	ORDERBREAKER		
《PL|RAYER》	ASCENDING TOGETHER	180			
& Intelligence	MEGA MIX	160			
#CMFLG	HARD TRIBAL	155	카모플라쥬		
#MAGiCVLGiRL_TRVP_B3VTZ	NEON/TWERKCORE	100			
#The_Relentless	DUBCORE	170			레겐더리아 CHORD 조심
†渚の小悪魔ラヴリィ〜レイディオ† (IIDX EDIT)	Hi-CORE	190	소악마의 러블리 라디오		
∀	RENAISSANCE	180	턴에이		
≡+≡	NIGHTCORE	182			레겐더리아 CHORD 조심
■□模様	ALTERNATIVE SHIBUYA E-POP	189	네모무늬		
2 Be Continued	DRAMATIC CHIPTUNE	189			
2 Beasts Unchained	HARDCORE	175			
2 tribe 4 K	TRIBAL	140			
3V0	NEO DANCE SPEED	191			
3y3s	DANCE SPEED	191			PEAK 조심
3y3s(Long ver.)	DANCE SPEED	191			
5.1.1.	PIANO AMBIENT	101			
5.8.8.	PIANO AMBIENT	95			
7 Colors	PRISM EURO	156			
19,November	HOUSE	125			
20,november	HOUSE	130			
20XX	CYBER BREAKCORE	180			
22DUNK	TECHNO	135			
24h Endurance Race	HARDCORE	183			
24th Century BOY	EURO RAVE	168			
27th style	HIP HOP	150			
50th Memorial Songs -Beginning Story-	ANNIVERSARY	135			
50th Memorial Songs -The BEMANI History-	ANNIVERSARY	136			
50th Memorial Songs -二人の時 ~under the cherry blossoms~-	ANNIVERSARY	160	둘만의시간		
100% minimoo-G	SYNTHETIC PROGRESSIVE ROCK	252			
250bpm	GABBA	250			
255	HYPER SPEED RAVE	255			체력 주의(중반에 빡센트릴)
405nm(Ryu☆mix)	HARDCORE	177			동치 연습하기 굉장히 좋은 패턴
532nm	HARDCORE	177			
808monkey	JUNGLE TERROR	168			
1001 -ESCAPE-	JAZZ ROCK	147			
1116	BREAKBEATS	190			
