노래명	장르명	BPM	alias-1	alias-2	memo
Battle Train -IIDX Edition-	HARD DANCE	160			
Battleground	SCHRANZ	165			
BattleRoyal	DUBSTEP	150			
Be a Hero!	DIGITAL THRASH PUNK	190			
Be A Star	ALTERNATIVE TECHNO POP	174			
Be OK	EUROBEAT	148			
Be quiet	HARD DANCE	150			
Be Rock U (1998 burst style)	ULTRA ROCK BEAT	150			
Beast mode	SPEED EURO	195			
Beastie Starter	SPEEDCORE	190			
Beat Juggling Mix	DJ BATTLE	66–198			
BEAT PRISONER	PRIME BIG BEAT	155			CHARGE 조심
Beat Radiance	NEO CLASSICAL DANCE	192			CHORD 조심
beatAffection	BEAT MUSIC	190			
beatchic☆仮面 ~好き、でいさせて~	E-DANCE POP	175			
beatonic nation	TECH-TRONICA	165			
BEAUTIFUL ANGEL	DRUM'N'BASS	172			
Beautiful Harmony (IIDX Mix)	PROGRESSIVE TRANCE	135			
Begin	PSY-TRANCE	170			
Beginning of life	AMBIENT	110			
Beginning of life(THE GROUND PULSE MIX)	TECHNO	140			
being torn the sky	ELECTRO POP	102			
Believe In Me	HARDCORE	170			
Believe in You	HARDCORE RAVE	175			
BEMANI PRO LEAGUE Theme	BPL EDM	134			
Best of Me	CYBER LIQUID FUNK	177			
Beyond Evolution	CULMINATION	185			PEAK 조심
Beyond The Seven	TRANCE	142			
BIGソムタム	DRUM STEP	187			
BIGWAVERS	EMOTIONAL HARDCORE SUMMERS	177			
Binary Black Hole	BLACK OUT	190			PEAK 조심
Biometrics Warrior	RAGGACORE	215			
bit mania	テクノ歌謡	160			
BitRacer	FM JAZZY TECH	132–158			
Bitter & Lucky	NU SYNTH BASS	135–180			
BITTER CHOCOLATE STRIKER	JUMPSTYLE	165			
Black Apple	ELEGANT MODERN ROCK	174			
BLACK JACKAL	DANCE MUSIC	150			
BLACK or WHITE?	SYMPHONIC SPEED SCHRANZ	185			
BLACK.by X-Cross Fade	TECH-BREAKBEATS	163			SCRATCH 조심
Blame	EUROBEAT	155			
Blaze it UP!	HARDCORE RAVE	175			
BLAZING_LAZER	BURNING RAVE	191			
Blind Justice ~Torn souls, Hurt Faiths~	EPIC POETRY	137–165			
Bling-Bang-Bang-Born	IIDX EDITION	157			SCRATCH 조심
BLOCKS	TRANCE	141			
Bloody Tears(IIDX EDITION)	HARD RENAISSANCE	170			
bloomin' feeling	HAPPY HARDCORE	181			
BLO§OM	BLOOM TRANCE	158			
Blown My Heart Away	80's EUROBEAT	124			
Blue Bird feat. Kanae Asaba	LATIN FUSION POP	134			
BLUE DRAGON(雷龍Remix IIDX)	RAVERS DANCE SPEED	188			
BLUE MIRAGE	NU STYLE GABBER	170			
Blue Rain	TRANCE	144			
Blue Spring Express	DREAM CORE	172			
BLUE STRAGGLER	HARD DANCE	160			
Blueberry Stream	HOUSE	138			
bluemoon	LATIN HORNS GROOVE	140			
BLUST OF WIND	CROSSOVER HOUSE	145			
BOOM BOOM DISCO NIGHT	EUROBEAT	180			
Boomy and The Boost	NEO JUNGLE	174			
Bounce Bounce Bounce	DANCEHALL	116			
Boundary	ROCOCO TEK	160			
Bow shock!!	JAZZ PIANO TRANCE	165			
Brahma	TOKYO STYLE SPEEDCORE	400			
BRAINSTORM	TRANCECORE MEETS GABBA	180			
BRAVE GLOW	SPACY TRANCE	160			
BRAVE OUT	ELECTRANCE	150			
Brave Spirits	MELODIC RIDDIM	152			
Brazilian Fire	LATIN HOUSE	130			
BREAK OVER	FESTIVAL SOUND	106–150			
Break Stasis	DRUMSTEP/HARDCORE	184			
Breakin' Chain	MOOMBAHCORE	206			
Breakin' Rules	CYBER PUNK	170			
Breaking Dawn feat. NO+CHIN, AYANO	J-CORE	186			
Breaking the ground	HARDCORE	166			
BREATH	ROCOCO TEK	160			
BREEDING	TECHNO	150			
BRIDAL FESTIVAL !!!	HAPPY ☆ JIG	138			
BRIGHTNESS DARKNESS	ROCOCO TEK	150			
BRILLIANT 2U	EURO GROOVE	150			
BRING HER DOWN	TRIBAL BASS	132			
Bring The Fire	SPEED RAVE	160			
Broadbanded	TRANCE	140			
BroGamer	SUPER ULTIMATE HYPER CORE	207			CHORD 조심
Broken	TRANCE	148			
BROKEN EDEN	SYMPHONIC-TEK	162			
Broken My Heart	HYPER EUROBEAT	160			
Broken Sword	DUAL ANTIQUE	160			
Buffalo	ROCK	108			
Burnin' The Floor	EURO GROOVE	155			
Burning Flame	HYPER TECHNO	165			
Burning Heat! (Full Option Mix)	12BEAT	166			
Butterfly Twist	SPEED HOUSE	160			
C-C-C-N-N-N	ELECTRONICORE	162–180			
CADENZA	PSYCHEDELIC TRANCE	160			
Caldwell 99	STARRY BASS HOUSE	142			
CALL	WORLD/ELECTRONICA	158			CHARGE 조심
Calvados Queen	JAZZ ROCK	220			
CAN'T STOP FALLIN' IN LOVE	HYPER EUROBEAT	155			
Candy Galy	HAPPY	184			
Cansei de S NIK	FIDGET HOUSE	137			
Captivate〜誓い〜	NOSTALISH REQUIEM	160			
